060014001001000,0.0
060014001001001,0.0
060014001001002,0.0
060014001001003,0.0
060014001001004,0.0
060014001001005,0.0
060014001001006,0.0
060014001001007,117.0
060014001001008,20.0
060014001001009,0.0
060014001001010,0.0
060014001001011,13.0
060014001001012,0.0
060014001001013,1.0
060014001001014,20.0
060014001001015,33.0
060014001001016,0.0
060014001001017,15.0
060014001001018,0.0
060014001001019,0.0
060014001001020,0.0
060014001001021,0.0
060014001001022,0.0
060014001001023,0.0
060014001001024,316.0
060014001001025,0.0
060014001001026,161.0
060014001001027,147.0
060014001001028,7.0
060014001001029,3.0
060014001001030,0.0
060014001001031,0.0
060014001001032,22.0
060014001001033,207.0
060014001001034,30.0
060014001001035,0.0
060014001001036,229.0
060014001001037,28.0
060014001001038,40.0
060014001001039,123.0
060014001001041,11.0
060014001001042,13.0
060014001001043,47.0
060014001001044,153.0
060014001001045,55.0
060014001001046,62.0
060014001001047,46.0
060014001001048,0.0
060014001001049,128.0
060014001001050,6.0
060014001001051,34.0
060014001001052,23.0
060014001001053,54.0
060014001001054,62.0
060014001001055,13.0
060014001001056,85.0
060014001001057,48.0
060014001001058,118.0
060014001001059,37.0
060014001001060,52.0
060014001001061,69.0
060014001001062,37.0
060014001001063,16.0
060014001001064,0.0
060014001001065,0.0
060014001001066,23.0
060014001001067,16.0
060014001001068,11.0
060014001001069,10.0
060014001001070,0.0
060014001001071,0.0
060014001001072,0.0
060014001001073,0.0
060014001001074,60.0
060014001001075,24.0
060014001001076,75.0
060014002001000,39.0
060014002001001,54.0
060014002001002,107.0
060014002001003,20.0
060014002001004,88.0
060014002001005,32.0
060014002001006,42.0
060014002001007,14.0
060014002001008,41.0
060014002001009,35.0
060014002001010,89.0
060014002001011,35.0
060014002001012,6.0
060014002001013,0.0
060014002001014,59.0
060014002001015,10.0
060014002001016,9.0
060014002001017,0.0
060014002001018,9.0
060014002001019,97.0
060014002001020,129.0
060014002001021,18.0
060014002001022,85.0
060014002002000,128.0
060014002002001,52.0
060014002002002,49.0
060014002002003,37.0
060014002002004,269.0
060014002002005,8.0
060014002002006,111.0
060014002002007,75.0
060014002002008,68.0
060014002002009,0.0
060014002002010,0.0
060014002002011,3.0
060014002002012,11.0
060014002002013,66.0
060014002002014,5.0
060014002002015,74.0
060014002002016,0.0
060014002002017,0.0
060014003001000,0.0
060014003001001,0.0
060014003001002,0.0
060014003001003,0.0
060014003001004,0.0
060014003001005,0.0
060014003001006,0.0
060014003001007,153.0
060014003001008,169.0
060014003001009,101.0
060014003001010,227.0
060014003001011,145.0
060014003001012,0.0
060014003001013,0.0
060014003001014,0.0
060014003001015,157.0
060014003001016,122.0
060014003001017,4.0
060014003002000,85.0
060014003002001,82.0
060014003002002,5.0
060014003002003,80.0
060014003002004,29.0
060014003002005,39.0
060014003002006,125.0
060014003002007,53.0
060014003002008,100.0
